<head><title>Dallas vs. Philadelphia</title></head><link rel="stylesheet" href="https://ezaco.github.io/SimFBACommentary/css/gamestyles.css">																																	
<div class="welcome"> Welcome everybody to AT&T Stadium here in Dallas, Texas.<br />																																	
It's great matchup today between the <strong> Dallas Cowboys </strong> and the <strong> Philadelphia Eagles </strong>.<br />																																	
We're getting under way here now, let's take it down to the field!<br />																																	
Click here to <a href="javascript:history.back()">go back</a> at any time.</div>																																	
<div class="team-logos"><img class="home-logo" src="https://ezaco.github.io/SimFBACommentary/images/Dallas.png"> <img class="away-logo" src="https://ezaco.github.io/SimFBACommentary/images/Philadelphia.png"></div>																																	
<table style="margin:auto;width:90%;margin-bottom:75px"><thead>																																	
<tr>	<th>	Quarter	</th>	<th>	Time Remaining	</th>	<th>	Possession	</th>	<th>	Down	</th>	<th>	Distance	</th>	<th>	Line Of Scrimmage	</th>	<th>	Type of Play	</th>	<th>	Result	</th>	<th>	DAL Score	</th>	<th>	PHI Score	</th>	</tr>	</thead>	<tbody>
<tr>	<td>	3	</td>	<td>	14:48	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	40 DAL	</td>	<td>	Run	</td>	<td>	RB Timothy Miller carries for 6 yards. Tackled by OLB Emory Hightower.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	14:18	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	4	</td>	<td>	46 DAL	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to TE Henry Green for 2 yards. Tackled by CB Dustin Phillips.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	13:43	</td>	<td>	DAL	</td>	<td>	3	</td>	<td>	2	</td>	<td>	48 DAL	</td>	<td>	Run	</td>	<td>	RB Ramon Munoz carries for 6 yards. Ran out of bounds.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	13:20	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	46 PHI	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel incomplete. Intended for RB Ramon Munoz.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	13:14	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	10	</td>	<td>	46 PHI	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to TE Henry Green for 1 yard. Tackled by CB Andrew Kangas.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	12:40	</td>	<td>	DAL	</td>	<td>	3	</td>	<td>	9	</td>	<td>	45 PHI	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel incomplete. Intended for RB Timothy Miller.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	12:35	</td>	<td>	DAL	</td>	<td>	4	</td>	<td>	9	</td>	<td>	45 PHI	</td>	<td>	Punt	</td>	<td>	P William Shuck punts for 59 yards. Touchback.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	12:22	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	20 PHI	</td>	<td>	Run	</td>	<td>	QB Aaron Pool carries for 3 yards. Tackled by DT Eric Simon.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	11:46	</td>	<td>	PHI	</td>	<td>	2	</td>	<td>	7	</td>	<td>	23 PHI	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool complete to WR Pedro Ekeler for 4 yards. Tackled by FS Jorge Mendez.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	11:14	</td>	<td>	PHI	</td>	<td>	3	</td>	<td>	3	</td>	<td>	27 PHI	</td>	<td>	Run	</td>	<td>	RB Gregg Lemay carries for 8 yards. Ran out of bounds.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	10:55	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	35 PHI	</td>	<td>	Run	</td>	<td>	RB Gregg Lemay carries for 3 yards. Tackled by ILB Steven Othon.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	10:20	</td>	<td>	PHI	</td>	<td>	2	</td>	<td>	7	</td>	<td>	38 PHI	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool complete to WR Gilberto Silva for 8 yards. Tackled by FS James Garnette.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	10:00	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	46 PHI	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool complete to WR Enrique Nunes for 8 yards. Tackled by OLB Alton Bradfield.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	9:25	</td>	<td>	PHI	</td>	<td>	2	</td>	<td>	2	</td>	<td>	46 DAL	</td>	<td>	Run	</td>	<td>	RB Gregg Lemay carries for 38 yards. Tackled by ILB Steven Othon.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	9:3	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	8	</td>	<td>	8 DAL	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool complete to RB Gregg Lemay for 5 yards. Tackled by FS Jorge Mendez.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	8:32	</td>	<td>	PHI	</td>	<td>	2	</td>	<td>	3	</td>	<td>	3 DAL	</td>	<td>	Run	</td>	<td>	QB Aaron Pool carries for 0 yards. Tackled by FS James Garnette.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	8:1	</td>	<td>	PHI	</td>	<td>	3	</td>	<td>	3	</td>	<td>	3 DAL	</td>	<td>	Run	</td>	<td>	QB Aaron Pool carries for -4 yards. Tackled by OLB Jacob Wiseman.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	7:30	</td>	<td>	PHI	</td>	<td>	4	</td>	<td>	7	</td>	<td>	7 DAL	</td>	<td>	Field Goal	</td>	<td>	K Gary Brooks's 25 yard field goal attempt is good.	</td>	<td>	17	</td>	<td>	6	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	7:24	</td>	<td>	PHI	</td>	<td>	N/A	</td>	<td>	N/A	</td>	<td>	35 PHI	</td>	<td>	Kickoff	</td>	<td>	K Gary Brooks kicks for 59 yards. Fielded at the 6 yardline by RB Timothy MillerRB Timothy Miller returns the ball 22 yards. Ran out of bounds.	</td>	<td>	17	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	7:15	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	28 DAL	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to WR Antonio Arellano for 17 yards. Tackled by CB Andrew Kangas.	</td>	<td>	17	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	6:58	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	45 DAL	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to RB Ramon Munoz for 7 yards. Tackled by SS Ryan Reininger.	</td>	<td>	17	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	6:24	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	3	</td>	<td>	48 PHI	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to WR Antonio Arellano for 5 yards. Tackled by FS Leonard Vaughn.	</td>	<td>	17	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	6:7	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	43 PHI	</td>	<td>	Run	</td>	<td>	RB Timothy Miller carries for 43 yards. <span class="touchdown">TOUCHDOWN</span>!	</td>	<td>	17	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	5:45	</td>	<td>	DAL	</td>	<td>	N/A	</td>	<td>	N/A	</td>	<td>	3 PHI	</td>	<td>	Extra Point	</td>	<td>	K Michael Cox's extra point attempt is good.	</td>	<td>	23	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	5:45	</td>	<td>	DAL	</td>	<td>	N/A	</td>	<td>	N/A	</td>	<td>	35 DAL	</td>	<td>	Kickoff	</td>	<td>	K Michael Cox kicks for 69 yards. Fielded 4 yards. deep in the endzone by RB Lucas Mihalik Touchback.	</td>	<td>	24	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	5:45	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	25 PHI	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool incomplete. Intended for WR Pedro Ekeler.	</td>	<td>	24	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	5:42	</td>	<td>	PHI	</td>	<td>	2	</td>	<td>	10	</td>	<td>	25 PHI	</td>	<td>	Run	</td>	<td>	RB Gregg Lemay carries for -1 yard. Tackled by DT Elliott Grossman.	</td>	<td>	24	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	5:12	</td>	<td>	PHI	</td>	<td>	3	</td>	<td>	11	</td>	<td>	24 PHI	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool scrambles for 6 yards. Tackled by DT Elliott Grossman.	</td>	<td>	24	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	5:8	</td>	<td>	PHI	</td>	<td>	4	</td>	<td>	5	</td>	<td>	30 PHI	</td>	<td>	Punt	</td>	<td>	P Howard Martin punts for 42 yards. RB Timothy Miller returns the ball 11 yards. Tackled by DE Matt Kelemete.	</td>	<td>	24	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	4:59	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	39 DAL	</td>	<td>	Run	</td>	<td>	RB Timothy Miller carries for 4 yards. Ran out of bounds.	</td>	<td>	24	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	4:41	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	6	</td>	<td>	43 DAL	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to WR Christopher Lee for 13 yards. Tackled by ILB Alvin Eckes.	</td>	<td>	24	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	4:20	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	44 PHI	</td>	<td>	Run	</td>	<td>	RB Timothy Miller carries for 7 yards. Tackled by OLB Mark Soto.	</td>	<td>	24	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	3:44	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	3	</td>	<td>	37 PHI	</td>	<td>	Run	</td>	<td>	RB Timothy Miller carries for 7 yards. Tackled by DT Leon Payne. Fumbled. Recovered by CB Dustin Phillips.	</td>	<td>	24	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	3:24	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	30 PHI	</td>	<td>	Run	</td>	<td>	RB Gregg Lemay carries for 5 yards. Tackled by ILB Steven Othon.	</td>	<td>	24	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	2:51	</td>	<td>	PHI	</td>	<td>	2	</td>	<td>	5	</td>	<td>	35 PHI	</td>	<td>	Run	</td>	<td>	QB Aaron Pool carries for 10 yards. Tackled by FS Jorge Mendez.	</td>	<td>	24	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	2:32	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	45 PHI	</td>	<td>	Run	</td>	<td>	QB Aaron Pool carries for 5 yards. Ran out of bounds.	</td>	<td>	24	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	2:10	</td>	<td>	PHI	</td>	<td>	2	</td>	<td>	5	</td>	<td>	50	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool complete to WR Gilberto Silva for 10 yards. Tackled by FS Jorge Mendez.	</td>	<td>	24	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	1:51	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	40 DAL	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool complete to WR Pedro Ekeler for 0 yards. Tackled by OLB Jacob Wiseman.	</td>	<td>	24	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	1:18	</td>	<td>	PHI	</td>	<td>	2	</td>	<td>	10	</td>	<td>	40 DAL	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool complete to WR Gilberto Silva for 16 yards. Tackled by FS James Garnette.	</td>	<td>	24	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	1:00	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	24 DAL	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool complete to WR Gilberto Silva for 11 yards. Tackled by CB Amara Rodriguez.	</td>	<td>	24	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	0:43	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	13 DAL	</td>	<td>	Run	</td>	<td>	RB Gregg Lemay carries for 2 yards. Tackled by OLB Jacob Wiseman.	</td>	<td>	24	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	3	</td>	<td>	0:10	</td>	<td>	PHI	</td>	<td>	2	</td>	<td>	8	</td>	<td>	11 DAL	</td>	<td>	Run	</td>	<td>	RB Gregg Lemay carries for 7 yards. Tackled by DE Michael Dyson.	</td>	<td>	24	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	15:00	</td>	<td>	PHI	</td>	<td>	3	</td>	<td>	1	</td>	<td>	4 DAL	</td>	<td>	Run	</td>	<td>	QB Aaron Pool carries for 2 yards. Tackled by ILB Steven Othon.	</td>	<td>	24	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	14:39	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	2	</td>	<td>	2 DAL	</td>	<td>	Run	</td>	<td>	RB Gregg Lemay carries for 2 yards. <span class="touchdown">TOUCHDOWN</span>!	</td>	<td>	24	</td>	<td>	9	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	14:22	</td>	<td>	PHI	</td>	<td>	N/A	</td>	<td>	N/A	</td>	<td>	3 DAL	</td>	<td>	Extra Point	</td>	<td>	K Gary Brooks's extra point attempt is no good.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	14:22	</td>	<td>	PHI	</td>	<td>	N/A	</td>	<td>	N/A	</td>	<td>	35 PHI	</td>	<td>	Kickoff	</td>	<td>	K Gary Brooks kicks for 59 yards. Fielded at the 6 yardline by RB Timothy MillerRB Timothy Miller returns the ball 28 yards. Ran out of bounds.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	14:14	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	34 DAL	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to RB Ramon Munoz for 2 yards. Tackled by CB Dustin Phillips.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	13:40	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	8	</td>	<td>	36 DAL	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to WR Christopher Lee for 6 yards. Tackled by CB Dustin Phillips.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	13:9	</td>	<td>	DAL	</td>	<td>	3	</td>	<td>	2	</td>	<td>	42 DAL	</td>	<td>	Run	</td>	<td>	RB Timothy Miller carries for 6 yards. Tackled by FS Leonard Vaughn.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	12:50	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	48 DAL	</td>	<td>	Run	</td>	<td>	RB Ramon Munoz carries for -1 yard. Tackled by ILB Jose Ortega.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	12:17	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	11	</td>	<td>	47 DAL	</td>	<td>	Run	</td>	<td>	RB Ramon Munoz carries for 5 yards. Ran out of bounds.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	11:54	</td>	<td>	DAL	</td>	<td>	3	</td>	<td>	6	</td>	<td>	48 PHI	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel incomplete. Intended for TE Henry Green.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	11:46	</td>	<td>	DAL	</td>	<td>	4	</td>	<td>	6	</td>	<td>	48 PHI	</td>	<td>	Punt	</td>	<td>	P William Shuck punts for 38 yards. RB Michael Vance returns the ball 15 yards. Ran out of bounds.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	11:36	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	25 PHI	</td>	<td>	Run	</td>	<td>	RB Gregg Lemay carries for 2 yards. Ran out of bounds.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	11:18	</td>	<td>	PHI	</td>	<td>	2	</td>	<td>	8	</td>	<td>	27 PHI	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool complete to TE Matthew Lee for 8 yards. Tackled by CB Kevin Kline.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	10:57	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	35 PHI	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool complete to WR Gilberto Silva for 5 yards. Tackled by CB Thomas Calame.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	10:25	</td>	<td>	PHI	</td>	<td>	2	</td>	<td>	5	</td>	<td>	40 PHI	</td>	<td>	Run	</td>	<td>	QB Aaron Pool carries for 3 yards. Tackled by ILB Steven Othon.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	9:50	</td>	<td>	PHI	</td>	<td>	3	</td>	<td>	2	</td>	<td>	43 PHI	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool incomplete. Intended for TE Matthew Lee.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	9:43	</td>	<td>	PHI	</td>	<td>	4	</td>	<td>	2	</td>	<td>	43 PHI	</td>	<td>	Punt	</td>	<td>	P Howard Martin punts for 48 yards. RB Ramon Munoz returns the ball 8 yards. Tackled by ILB Alvin Eckes.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	9:30	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	17 DAL	</td>	<td>	Run	</td>	<td>	RB Ramon Munoz carries for 1 yard. Tackled by ILB Jose Ortega.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	8:57	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	9	</td>	<td>	18 DAL	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel incomplete. Intended for WR Christopher Lee.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	8:49	</td>	<td>	DAL	</td>	<td>	3	</td>	<td>	9	</td>	<td>	18 DAL	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to TE Henry Green for 17 yards. Tackled by FS Leonard Vaughn. <span class="penalty">PENALTY</span>: Defensive Holding DT Leon Payne	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	8:28	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	23 DAL	</td>	<td>	Run	</td>	<td>	RB Ramon Munoz carries for 5 yards. Ran out of bounds.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	8:9	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	5	</td>	<td>	28 DAL	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to TE Henry Green for 8 yards. Tackled by CB Dustin Phillips.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	7:50	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	36 DAL	</td>	<td>	Run	</td>	<td>	RB Timothy Miller carries for 2 yards. Ran out of bounds.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	7:28	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	8	</td>	<td>	38 DAL	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to TE Henry Green for 8 yards. Tackled by CB Andrew Kangas.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	7:11	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	46 DAL	</td>	<td>	Run	</td>	<td>	RB Timothy Miller carries for -3 yards. Tackled by OLB Emory Hightower.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	6:37	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	13	</td>	<td>	43 DAL	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel complete to WR Antonio Arellano for 28 yards. Tackled by CB Barry Taylor.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	6:18	</td>	<td>	DAL	</td>	<td>	1	</td>	<td>	10	</td>	<td>	29 PHI	</td>	<td>	Run	</td>	<td>	RB Timothy Miller carries for 2 yards. Tackled by OLB Mark Soto.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	5:47	</td>	<td>	DAL	</td>	<td>	2	</td>	<td>	8	</td>	<td>	27 PHI	</td>	<td>	Run	</td>	<td>	RB Timothy Miller carries for -1 yard. Tackled by DE Jake Moore.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	5:16	</td>	<td>	DAL	</td>	<td>	3	</td>	<td>	9	</td>	<td>	28 PHI	</td>	<td>	Pass	</td>	<td>	QB Jessie Noel incomplete. Thrown Away.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	5:13	</td>	<td>	DAL	</td>	<td>	4	</td>	<td>	9	</td>	<td>	28 PHI	</td>	<td>	Field Goal	</td>	<td>	K Michael Cox's 46 yard field goal attempt is good.	</td>	<td>	24	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	5:8	</td>	<td>	DAL	</td>	<td>	N/A	</td>	<td>	N/A	</td>	<td>	35 DAL	</td>	<td>	Kickoff	</td>	<td>	K Michael Cox kicks for 55 yards. Fielded at the 10 yardline by RB Michael VanceRB Michael Vance returns the ball 21 yards. Ran out of bounds.	</td>	<td>	27	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	4:56	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	31 PHI	</td>	<td>	Run	</td>	<td>	RB Gregg Lemay carries for 8 yards. Tackled by FS Jorge Mendez.	</td>	<td>	27	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	4:22	</td>	<td>	PHI	</td>	<td>	2	</td>	<td>	2	</td>	<td>	39 PHI	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool complete to WR Gilberto Silva for 4 yards. Tackled by FS James Garnette.	</td>	<td>	27	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	4:4	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	43 PHI	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool incomplete. Intended for WR Gilberto Silva.	</td>	<td>	27	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	4:00	</td>	<td>	PHI	</td>	<td>	2	</td>	<td>	10	</td>	<td>	43 PHI	</td>	<td>	Run	</td>	<td>	RB Gregg Lemay carries for 8 yards. Tackled by DE Michael Dewitt.	</td>	<td>	27	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	3:30	</td>	<td>	PHI	</td>	<td>	3	</td>	<td>	2	</td>	<td>	49 DAL	</td>	<td>	Run	</td>	<td>	RB Joel Hernandez carries for 7 yards. Tackled by DE Michael Dewitt.	</td>	<td>	27	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	3:13	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	42 DAL	</td>	<td>	Run	</td>	<td>	QB Aaron Pool carries for 4 yards. Tackled by ILB Steven Othon.	</td>	<td>	27	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	2:39	</td>	<td>	PHI	</td>	<td>	2	</td>	<td>	6	</td>	<td>	38 DAL	</td>	<td>	Run	</td>	<td>	QB Aaron Pool carries for 4 yards. Tackled by DT Eric Simon.	</td>	<td>	27	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	2:6	</td>	<td>	PHI	</td>	<td>	3	</td>	<td>	2	</td>	<td>	34 DAL	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool complete to RB Gregg Lemay for 19 yards. Tackled by CB Thomas Calame.	</td>	<td>	27	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	1:47	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	10	</td>	<td>	15 DAL	</td>	<td>	Run	</td>	<td>	RB Gregg Lemay carries for 3 yards. Tackled by DT Elliott Grossman.	</td>	<td>	27	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	1:13	</td>	<td>	PHI	</td>	<td>	2	</td>	<td>	7	</td>	<td>	12 DAL	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool complete to FB Guy Riner for -2 yards. Tackled by OLB Alton Bradfield.	</td>	<td>	27	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	0:39	</td>	<td>	PHI	</td>	<td>	3	</td>	<td>	9	</td>	<td>	14 DAL	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool complete to WR Gilberto Silva for 11 yards. Tackled by CB Amara Rodriguez.	</td>	<td>	27	</td>	<td>	15	</td>	</tr>		
<tr>	<td>	4	</td>	<td>	0:22	</td>	<td>	PHI	</td>	<td>	1	</td>	<td>	3	</td>	<td>	3 DAL	</td>	<td>	Pass	</td>	<td>	QB Aaron Pool incomplete. Intended for WR Gilberto Silva.	</td>	<td>	27	</td>	<td>	15	</td>	</tr>		
